iso3c,Country,Balanced Food Choice Index,Last update FBDG,Page length,"Page length, square root",Percentage of vegetarian citizens,Score on the Environmental Performance Index (EPI),Meat production as a share of GDP,Dairy production as a share of GDP,Cereal production as a share of GDP,Vegetable production as a share of GDP,"GDP per capita, thousand USD"
NAM,Namibia,45,2000,20,4.47,22,40.2,1.1259,0.3281,0.14,0.2,4.547
NPL,Nepal,9,2017,2,1.41,28,32.7,4.8412,3.9469,2.58,8.51,0.8995
NLD,Netherlands,94,2018,190,13.78,5,75.3,0.6309,0.6163,0.01,0.02,46.008
NZL,New Zealand,82,2020,164,12.81,3.3,71.3,2.2319,2.8026,0.07,0.07,40.0798
NGA,Nigeria,39,2000,36,6,22,31,0.5006,0.0172,0.5,0.89,2.176
MKD,North Macedonia,57,2014,32,5.66,7,55.4,0.6029,1.5096,0.92,0.7,5.1328
NOR,Norway,49,2018,39,6.24,8,77.7,0.3717,0.282,0.04,0.1,70.4611
OMN,Oman,15,2009,45,6.71,22,38.5,-99,-99,0.02,0.02,14.6099
PAK,Pakistan,35,2018,106,10.3,28,33.1,4.8273,5.6318,2.85,3.59,1.3684
PAN,Panama,0,2013,19,4.36,12,47.3,2.7777,0.2279,0.04,0.37,14.3441
PRY,Paraguay,45,2015,104,10.2,12,46.4,4.6936,0.5671,0.64,2.29,5.3247
PER,Peru,3,2019,60,7.75,11,44,2.3108,0.3771,0.96,0.85,6.2051
PHL,Philippines,18,2012,1,1,28,38.4,3.18,0.0037,1.71,2.42,3.0737
POL,Poland,26,2020,3,1.73,8.4,60.9,1.2277,0.7884,0.48,0.7,12.4474
PRT,Portugal,50,2009,58,7.62,1.8,67,0.5324,0.3375,0.08,0.08,19.9788
QAT,Qatar,83,2015,42,6.48,22,37.1,0.032,0.0317,-99,-99,57.1621
KOR,Republic of Korea,21,2016,12,3.46,28,66.5,0.7418,0.1122,0.17,0.49,29.2886
RUS,Russia,24,2009,12,3.46,7,50.5,1.6372,0.7581,-99,-99,8.8456
KNA,Saint Kitts and Nevis,12,2010,28,5.29,12,-99,-99,-99,-99,-99,18.8106
LCA,Saint Lucia,0,2007,1,1,12,43.1,0.6535,0.079,-99,-99,10.3616
VCT,Saint Vincent and the Grenadines,0,2006,2,1.41,12,48.4,1.2374,0.2226,0.06,0.04,7.0745
SAU,Saudi Arabia,41,2016,35,5.92,22,44,0.5033,0.3869,0.02,0.08,19.8789
SYC,Seychelles,0,2006,1,1,22,58.2,-99,-99,-99,-99,15.0686
SLE,Sierra Leone,6,2016,80,8.94,22,25.7,-99,-99,14.05,16.04,0.5014
SVK,Slovakia,3,2015,4,2,3.5,68.3,0.1708,0.2967,0.41,0.67,16.5086
SVN,Slovenia,55,2015,55,7.42,2,72,0.6247,0.4016,0.11,0.17,21.6635
ZAF,South Africa,53,2013,165,12.85,22,43.1,2.1037,0.3556,0.25,0.49,5.2726
ESP,Spain,45,2010,36,6,1.5,74.3,0.7214,0.2644,0.1,0.2,26.5059
LKA,Sri Lanka,60,2011,99,9.95,28,39,0.5948,0.217,0.83,1.33,3.8863
SWE,Sweden,74,2015,105,10.25,7,78.7,0.2172,0.2001,0.14,0.12,51.9647
CHE,Switzerland,85,2018.5,53,7.28,5.1,81.5,0.3739,0.3441,0.04,0.04,83.0732
THA,Thailand,48,1998,23,4.8,28,45.4,1.4267,0.1481,0.41,1.71,5.9934
TUR,Turkey,63,2016,288,16.97,7,42.6,1.759,0.8865,0.46,0.75,10.8946
ARE,United Arab Emirates,45,2019,37,6.08,22,55.6,-99,-99,-99,-99,38.1424
GBR,United Kingdom,80,2018,108,10.39,12.5,81.3,0.3874,0.1617,-99,-99,41.0476
URY,Uruguay,15,2016,103,10.15,12,49.1,3.0848,0.9858,0.66,0.85,16.7157
USA,USA,75,2020,164,12.81,4,69.3,0.5389,0.1851,-99,-99,58.0212
VEN,Venezuela,6,1991,44,6.63,12,50.3,-99,-99,-99,-99,-99
YEM,Yemen,18,2012,8,2.83,22,-99,8.1134,1.8945,0.44,0.93,1.1386
